GeneID	group	Enzyme_family,pathway	Gene_description	Substrate
jgi|Aspni_NRRL3_1|1004	sugar_metabolism	Glycolysis	tpiA	/
jgi|Aspni_NRRL3_1|10050	sugar_metabolism	"PCP;the oxidoreductive pathway;D-galacturonic acid"	larA	/
jgi|Aspni_NRRL3_1|10052	sugar_transporter	pentose, hexose STs	XltC_Aniger	/
jgi|Aspni_NRRL3_1|10107	sugar_metabolism	PPP	rpiA	/
jgi|Aspni_NRRL3_1|10115	PBD_cazy	PL4_Subf3	RGL	Pectin
jgi|Aspni_NRRL3_1|10133	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|10141	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|10142	PBD_cazy	CE5	AXE	Xylan
jgi|Aspni_NRRL3_1|10164	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|10165	sugar_metabolism	PPP	tktC	/
jgi|Aspni_NRRL3_1|10175	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|10202	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|10297	sugar_metabolism	Glycolysis	pfkA	/
jgi|Aspni_NRRL3_1|10300	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|10305	sugar_transporter	unknown STs	/	/
jgi|Aspni_NRRL3_1|1038	PBD_cazy	GH105	URGH	Pectin
jgi|Aspni_NRRL3_1|10449	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|10522	sugar_metabolism	non-phosphorylated DeLey-Doudoroff pathway	dgdA	/
jgi|Aspni_NRRL3_1|10558	PBD_cazy	GH78	RHA	Pectin
jgi|Aspni_NRRL3_1|10559	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|10609	PBD_cazy	GH31	AGD/AXL	Starch/Xyloglucan
jgi|Aspni_NRRL3_1|10643	PBD_cazy	GH53	GAL	Pectin
jgi|Aspni_NRRL3_1|10666	sugar_metabolism	Glycolysis	enoA	/
jgi|Aspni_NRRL3_1|10685	sugar_metabolism	Mannose	pmmA	/
jgi|Aspni_NRRL3_1|1069	PBD_cazy	GH67	AGU	Xylan
jgi|Aspni_NRRL3_1|10706	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|1071	PBD_cazy	GH35	LAC	Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|10724	sugar_metabolism	Glycerol	/	/
jgi|Aspni_NRRL3_1|10865	PBD_cazy	GH51	ABF	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|10866	sugar_transporter	unknown STs	/	/
jgi|Aspni_NRRL3_1|10868	sugar_metabolism	"PCP;the oxidoreductive pathway"	xyrB	/
jgi|Aspni_NRRL3_1|10870	PBD_cazy	GH6	CBH	Cellulose
jgi|Aspni_NRRL3_1|10881	PBD_cazy	GH43	ABF/BXL/ABN	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|10884	sugar_metabolism	PCP	lxrA	/
jgi|Aspni_NRRL3_1|10908	sugar_metabolism	Glycolysis	pgkA	/
jgi|Aspni_NRRL3_1|10933	sugar_metabolism	Glycerol	gppA	/
jgi|Aspni_NRRL3_1|11036	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|11054	sugar_transporter	lactose, cellobiose, xylobiose STs	/	/
jgi|Aspni_NRRL3_1|1110	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|11105	PBD_cazy	GH131	EGL	Cellulose
jgi|Aspni_NRRL3_1|11113	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|11147	PBD_cazy	AA9	LPMO	Cellulose
jgi|Aspni_NRRL3_1|11176	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|11229	sugar_metabolism	Mannose	pmiA	/
jgi|Aspni_NRRL3_1|11249	sugar_metabolism	PPP	tktA	/
jgi|Aspni_NRRL3_1|1127	sugar_metabolism	"non-phosphorylated DeLey-Doudoroff pathway;Glycerol"	dakA	/
jgi|Aspni_NRRL3_1|11358	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|11377	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|11406	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|11451	PBD_cazy	GH78	RHA	Pectin
jgi|Aspni_NRRL3_1|11470	sugar_transporter	lactose, cellobiose, xylobiose STs	/	/
jgi|Aspni_NRRL3_1|11473	sugar_metabolism	PCP	/	/
jgi|Aspni_NRRL3_1|11573	sugar_metabolism	"TCA;Glyoxylate cycle"	acoA	/
jgi|Aspni_NRRL3_1|1164	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|11670	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|11685	sugar_metabolism	Glycerol	gppB	/
jgi|Aspni_NRRL3_1|11710	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|11715	sugar_transporter	xylose STs	XltA_Aniger	/
jgi|Aspni_NRRL3_1|11727	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|11728	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|11729	sugar_metabolism	"Glycolysis;Mannose;the oxidoreductive pathway"	put. hxk	/
jgi|Aspni_NRRL3_1|11738	PBD_cazy	GH35	LAC	Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|11740	sugar_transporter	inositol, hexose STs	/	/
jgi|Aspni_NRRL3_1|11747	PBD_cazy	GH27	AGL	Mannan
jgi|Aspni_NRRL3_1|11752	PBD_cazy	GH32	INV/INU/INX	Inulin
jgi|Aspni_NRRL3_1|11773	PBD_cazy	GH43	ABF/BXL/ABN	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|11786	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|11787	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|11790	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
